Federal Fiscal Year,Federal Fiscal Quarter,commercial_lender_held_dollars,commercial_lender_held_recipients,ed_federal_loan_dollars,ed_federal_loan_recipients,ed_total_permanent_disability_dollars,ed_total_permanent_disability_recipients,ed_default_management_dollars,ed_default_management_recipients,guaranty_agency_dollars,guaranty_agency_recipients,unduped_total_dollars,unduped_total_recipients
2015,Q1,$239.8,11.38,$79.2 ,5.75,$0.3 ,0.02,$26.2,2.53,$42.1 ,2.4,$387.6,19.1
2015,Q2,$234.1,11.08,$76.7 ,5.57,$0.3 ,0.02,$26.6,2.52,$41.2 ,2.32,$379.1,18.6
2015,Q3,$228.2,10.75,$74.3 ,5.39,$0.5 ,0.03,$27.3,2.55,$40.5 ,2.27,$370.9,18.2
2015,Q4,$222.6,10.46,$72.4 ,5.26,$0.4 ,0.02,$28.2,2.60,$40.1 ,2.21,$363.6 ,17.9
2016,Q1,$217.4,10.19,$70.3 ,5.11,$0.3 ,0.02,$30.2,2.68,$39.0 ,2.13,$357.3 ,17.5
2016,Q2,$212.1,9.91,$68.3 ,4.97,$0.4 ,0.02,$30.9,2.71,$38.5 ,2.08,$350.1 ,17.2
2016,Q3,$206.5,9.61,$66.4 ,4.83,$0.5 ,0.03,$31.3,2.71,$37.8 ,2.02,$342.6 ,16.76
2016,Q4,$201.1,9.34,$64.3 ,4.69,$0.6 ,0.04,$32.3,2.75,$37.0 ,1.96,$335.2 ,16.41
2017,Q1,$196.2,9.10,$62.5 ,4.57,$0.4 ,0.03,$34.1,2.82,$35.2 ,1.84,$328.4 ,16.06
2017,Q2,$190.8,8.81,$60.5 ,4.43,$0.5 ,0.03,$34.6,2.83,$34.1 ,1.77,$320.6 ,15.67
2017,Q3,$185.1,8.50,$58.6 ,4.29,$0.5 ,0.03,$35.3,2.82,$33.1 ,1.69,$312.7 ,15.23
