OPEID,Name,Address,City,State,State Desc,Zip Code,Zip Ext,Prog Length,School Type,Year 1,Num 1,Denom 1,DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,Average or Greater than 30,Year 2,Num 2,Denom 2,DRate 2,PRate 2,Year 3,Num 3,Denom 3,DRate 3,PRate 3
1003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,ALABAMA                                                     ,36109,3398,8,2,2014,192,1470,13,A,5,02      ,4,False,2013,143,1491,9.5,A,2012,143,1417,10,A
1004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,ALABAMA                                                     ,35115,6000,8,1,2014,64,793,8,A,5,06      ,4,False,2013,57,744,7.6,A,2012,83,805,10.3,A
1008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,ALABAMA                                                     ,35611,1999,8,1,2014,49,901,5.4,A,5,05      ,4,False,2013,51,959,5.3,A,2012,80,929,8.6,A
1016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,ALABAMA                                                     ,35632,0001,8,1,2014,176,1539,11.4,A,5,05      ,4,False,2013,160,1564,10.2,A,2012,171,1532,11.1,A
1019,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,MONTGOMERY          ,AL,ALABAMA                                                     ,36106,2148,6,2,2014,52,413,12.5,A,5,02      ,4,False,2013,54,390,13.8,A,2012,38,370,10.2,A
1020,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",JACKSONVILLE        ,AL,ALABAMA                                                     ,36265,1602,8,1,2014,272,2393,11.3,A,5,03      ,4,False,2013,316,2708,11.6,A,2012,253,2631,9.6,A
1023,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,MARION              ,AL,ALABAMA                                                     ,36756,2504,6,2,2014,17,121,14,A,5,07      ,4,False,2013,9,98,9.1,A,2012,11,83,13.2,A
1024,UNIVERSITY OF WEST ALABAMA                                       ,205 NORTH WASHINGTON                              ,LIVINGSTON          ,AL,ALABAMA                                                     ,35470,0000,8,1,2014,181,2124,8.5,A,5,07      ,4,False,2013,203,2331,8.7,A,2012,174,2220,7.8,A
1029,UNIVERSITY OF MOBILE                                             ,5735 COLLEGE PARKWAY                              ,MOBILE              ,AL,ALABAMA                                                     ,36663,0220,8,2,2014,42,574,7.3,A,5,01      ,4,False,2013,39,661,5.9,A,2012,36,574,6.2,A
1033,OAKWOOD UNIVERSITY                                               ,"7000 ADVENTIST BOULEVARD, NORTHWEST               ",HUNTSVILLE          ,AL,ALABAMA                                                     ,35896,0001,8,2,2014,90,609,14.7,A,2,05      ,4,False,2013,79,600,13.1,A,2012,68,540,12.5,A
1041,SPRING HILL COLLEGE                                              ,4000 DAUPHIN STREET                               ,MOBILE              ,AL,ALABAMA                                                     ,36608,1791,8,2,2014,27,382,7,A,5,01      ,4,False,2013,24,411,5.8,A,2012,28,420,6.6,A
1047,TROY UNIVERSITY                                                  ,UNIVERSITY AVENUE                  ADAMS ADMINISTR,TROY                ,AL,ALABAMA                                                     ,36082,0001,8,1,2014,840,7314,11.4,P,5,02      ,4,False,2013,900,8222,10.9,P,2012,996,8713,11.4,P
1050,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,TUSKEGEE INSTITUTE  ,AL,ALABAMA                                                     ,36088,1645,8,2,2014,93,806,11.5,P,2,03      ,4,False,2013,109,905,12,P,2012,116,901,12.8,P
1051,UNIVERSITY OF ALABAMA                                            ,801 UNIVERSITY BOULEVARD           ROSE ADMINISTRA,TUSCALOOSA          ,AL,ALABAMA                                                     ,35487,0120,8,1,2014,312,5433,5.7,P,5,07      ,4,False,2013,275,5325,5.1,P,2012,317,5023,6.3,P
